,Rank,Movie Title,Movie Year,Certificate,Duration,Genre,Rate,Metascore,Description,Director,Stars,Vote,Gross ($M)
58,59,59. Avengers: Endgame ,2019,PG-13,181,"Action, Adventure, Drama",8.4,78.0,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Anthony Russo, Joe Russo"," Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","772,451 ",858.37
59,60,60. Avengers: Infinity War ,2018,PG-13,149,"Action, Adventure, Sci-Fi",8.4,68.0,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo, Joe Russo"," Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","806,961 ",678.82
352,353,355. The Avengers ,2012,PG-13,143,"Action, Adventure, Sci-Fi",8.0,69.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon," Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner","1,246,498 ",623.28
2,3,3. The Dark Knight ,2008,PG-13,152,"Action, Crime, Drama",9.0,84.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan," Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","2,260,649 ",534.86
62,63,63. The Dark Knight Rises ,2012,PG-13,164,"Action, Adventure",8.4,78.0,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan," Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","1,491,281 ",448.14
42,43,43. The Lion King ,1994,G,88,"Animation, Adventure, Drama",8.5,88.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Roger Allers, Rob Minkoff"," Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg","923,988 ",422.78
92,93,93. Toy Story 3 ,2010,G,103,"Animation, Adventure, Comedy",8.3,92.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich," Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","744,492 ",415.0
257,258,260. Jurassic Park ,1993,PG-13,127,"Action, Adventure, Sci-Fi",8.1,68.0,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg," Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","852,358 ",402.45
221,222,224. Harry Potter and the Deathly Hallows: Part 2 ,2011,PG-13,130,"Adventure, Drama, Fantasy",8.1,85.0,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates," Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","748,824 ",381.01
238,239,241. Finding Nemo ,2003,G,100,"Animation, Adventure, Comedy",8.1,90.0,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Andrew Stanton, Lee Unkrich"," Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","933,762 ",380.84
4,5,5. The Lord of the Rings: The Return of the King ,2003,PG-13,201,"Action, Adventure, Drama",8.9,94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson," Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom","1,614,369 ",377.85
344,345,347. Deadpool ,2016,R,108,"Action, Adventure, Comedy",8.0,65.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller," Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein","887,463 ",363.07
208,209,211. Inside Out ,2015,PG,95,"Animation, Adventure, Comedy",8.1,94.0,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Pete Docter, Ronnie Del Carmen"," Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling","598,153 ",356.46
14,15,15. The Lord of the Rings: The Two Towers ,2002,PG-13,179,"Action, Adventure, Drama",8.7,87.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson," Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","1,459,119 ",342.55
328,329,331. Zootopia ,2016,PG,108,"Animation, Adventure, Comedy",8.0,78.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Byron Howard, Rich Moore, Jared Bush"," Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","424,584 ",341.27
32,33,33. Joker ,2019,R,122,"Crime, Drama, Thriller",8.5,,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips," Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy","882,903 ",335.45
335,336,338. Guardians of the Galaxy ,2014,PG-13,121,"Action, Adventure, Comedy",8.0,76.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn," Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","1,028,841 ",333.18
11,12,12. Forrest Gump ,1994,PG-13,142,"Drama, Romance",8.8,82.0,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis," Tom Hanks, Robin Wright, Gary Sinise, Sally Field","1,769,309 ",330.25
28,29,29. Star Wars: Episode IV - A New Hope ,1977,PG,121,"Action, Adventure, Fantasy",8.6,90.0,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas," Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","1,211,042 ",322.74
10,11,11. The Lord of the Rings: The Fellowship of the Ring ,2001,PG-13,178,"Action, Adventure, Drama",8.8,92.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson," Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean","1,630,106 ",315.54
109,110,110. Star Wars: Episode VI - Return of the Jedi ,1983,PG,131,"Action, Adventure, Fantasy",8.3,,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Richard Marquand," Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","933,808 ",309.13
371,372,374. Pirates of the Caribbean: The Curse of the Black Pearl ,2003,PG-13,143,"Action, Adventure, Fantasy",8.0,63.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski," Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","1,004,943 ",305.41
243,244,246. The Sixth Sense ,1999,PG-13,107,"Drama, Mystery, Thriller",8.1,64.0,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan," Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams","899,294 ",293.51
145,146,146. Up ,2009,PG,96,"Animation, Adventure, Comedy",8.2,88.0,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Pete Docter, Bob Peterson"," Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer","917,839 ",293.0
8,9,9. Inception ,2010,PG-13,148,"Action, Adventure, Sci-Fi",8.8,74.0,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Christopher Nolan," Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe","2,022,655 ",292.58
